iter,seed,alpha,total_prv,total_cost,is_feasible,is_new_best
1,42,0.1,8,1708.0,True,True
2,43,0.1,10,2610.0,True,False
3,44,0.3,11,3611.0,True,False
4,45,0.2,11,1911.0,True,False
5,46,0.2,11,2411.0,True,False
6,47,0.2,9,2809.0,True,False
7,48,0.1,13,3613.0,True,False
8,49,0.1,7,2407.0,True,False
9,50,0.4,11,3711.0,True,False
10,51,0.1,8,2408.0,True,False
11,52,0.1,12,2712.0,True,False
12,53,0.1,3,1903.0,True,False
13,54,0.2,9,3609.0,True,False
14,55,0.2,11,3211.0,True,False
15,56,0.1,7,2307.0,True,False
16,57,0.2,6,3306.0,True,False
17,58,0.4,12,3312.0,True,False
18,59,0.2,13,2713.0,True,False
19,60,0.4,6,1806.0,True,False
20,61,0.3,12,4012.0,True,False
21,62,0.1,7,3907.0,True,False
